2020/03/06 00:02:29.659 [D]  Partition:0, Offset:144536, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:29 CST 2020
2020/03/06 00:02:30.666 [D]  Partition:0, Offset:144537, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:30 CST 2020
2020/03/06 00:02:31.695 [D]  Partition:0, Offset:144538, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:31 CST 2020
2020/03/06 00:02:32.689 [D]  Partition:0, Offset:144539, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:32 CST 2020
2020/03/06 00:02:33.705 [D]  Partition:0, Offset:144540, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:33 CST 2020
2020/03/06 00:02:34.718 [D]  Partition:0, Offset:144541, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:34 CST 2020
2020/03/06 00:02:35.732 [D]  Partition:0, Offset:144542, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:35 CST 2020
2020/03/06 00:02:36.770 [D]  Partition:0, Offset:144543, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:36 CST 2020
2020/03/06 00:02:37.771 [D]  Partition:0, Offset:144544, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:37 CST 2020
2020/03/06 00:02:38.804 [D]  Partition:0, Offset:144545, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:38 CST 2020
2020/03/06 00:02:39.802 [D]  Partition:0, Offset:144546, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:39 CST 2020
2020/03/06 00:02:40.809 [D]  Partition:0, Offset:144547, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:40 CST 2020
2020/03/06 00:02:41.862 [D]  Partition:0, Offset:144548, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:41 CST 2020
2020/03/06 00:02:42.864 [D]  Partition:0, Offset:144549, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:42 CST 2020
2020/03/06 00:02:43.920 [D]  Partition:0, Offset:144550, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:43 CST 2020
2020/03/06 00:02:44.866 [D]  Partition:0, Offset:144551, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:44 CST 2020
2020/03/06 00:02:45.881 [D]  Partition:0, Offset:144552, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:45 CST 2020
2020/03/06 00:02:46.961 [D]  Partition:0, Offset:144553, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:46 CST 2020
2020/03/06 00:02:48.074 [D]  Partition:0, Offset:144554, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:47 CST 2020
2020/03/06 00:02:48.923 [D]  Partition:0, Offset:144555, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:48 CST 2020
2020/03/06 00:02:49.951 [D]  Partition:0, Offset:144556, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:49 CST 2020
2020/03/06 00:02:50.990 [D]  Partition:0, Offset:144557, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:50 CST 2020
2020/03/06 00:02:51.968 [D]  Partition:0, Offset:144558, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:51 CST 2020
2020/03/06 00:02:53.204 [D]  Partition:0, Offset:144559, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:52 CST 2020
2020/03/06 00:02:53.989 [D]  Partition:0, Offset:144560, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:53 CST 2020
2020/03/06 00:02:55.031 [D]  Partition:0, Offset:144561, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:54 CST 2020
2020/03/06 00:02:56.024 [D]  Partition:0, Offset:144562, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:55 CST 2020
2020/03/06 00:02:57.106 [D]  Partition:0, Offset:144563, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:56 CST 2020
2020/03/06 00:02:58.127 [D]  Partition:0, Offset:144564, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:57 CST 2020
2020/03/06 00:02:58.806 [D]  Partition:0, Offset:144565, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:58 CST 2020
2020/03/06 00:02:59.806 [D]  Partition:0, Offset:144566, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:59 CST 2020
2020/03/06 00:03:00.815 [D]  Partition:0, Offset:144567, Key:, Value:1adasdsadadadsa Fri Mar 6 00:03:00 CST 2020
2020/03/06 00:03:01.838 [D]  Partition:0, Offset:144568, Key:, Value:1adasdsadadadsa Fri Mar 6 00:03:01 CST 2020
2020/03/06 00:03:02.900 [D]  Partition:0, Offset:144569, Key:, Value:1adasdsadadadsa Fri Mar 6 00:03:02 CST 2020
2020/03/06 00:03:03.863 [D]  Partition:0, Offset:144570, Key:, Value:1adasdsadadadsa Fri Mar 6 00:03:03 CST 2020
2020/03/06 00:03:04.902 [D]  Partition:0, Offset:144571, Key:, Value:1adasdsadadadsa Fri Mar 6 00:03:04 CST 2020
2020/03/06 00:03:05.886 [D]  Partition:0, Offset:144572, Key:, Value:1adasdsadadadsa Fri Mar 6 00:03:05 CST 2020
2020/03/06 00:03:06.899 [D]  Partition:0, Offset:144573, Key:, Value:1adasdsadadadsa Fri Mar 6 00:03:06 CST 2020
2020/03/06 00:03:07.942 [D]  Partition:0, Offset:144574, Key:, Value:1adasdsadadadsa Fri Mar 6 00:03:07 CST 2020
2020/03/06 00:03:09.031 [D]  Partition:0, Offset:144575, Key:, Value:1adasdsadadadsa Fri Mar 6 00:03:08 CST 2020
2020/03/06 00:03:09.945 [D]  Partition:0, Offset:144576, Key:, Value:1adasdsadadadsa Fri Mar 6 00:03:09 CST 2020
2020/03/06 00:03:10.959 [D]  Partition:0, Offset:144577, Key:, Value:1adasdsadadadsa Fri Mar 6 00:03:10 CST 2020
2020/03/06 00:03:11.980 [D]  Partition:0, Offset:144578, Key:, Value:1adasdsadadadsa Fri Mar 6 00:03:11 CST 2020
2020/03/06 00:03:12.984 [D]  Partition:0, Offset:144579, Key:, Value:1adasdsadadadsa Fri Mar 6 00:03:12 CST 2020
2020/03/06 00:03:14.000 [D]  Partition:0, Offset:144580, Key:, Value:1adasdsadadadsa Fri Mar 6 00:03:13 CST 2020
2020/03/06 00:03:15.046 [D]  Partition:0, Offset:144581, Key:, Value:1adasdsadadadsa Fri Mar 6 00:03:14 CST 2020
2020/03/06 00:03:16.028 [D]  Partition:0, Offset:144582, Key:, Value:1adasdsadadadsa Fri Mar 6 00:03:15 CST 2020
2020/03/06 00:03:17.041 [D]  Partition:0, Offset:144583, Key:, Value:1adasdsadadadsa Fri Mar 6 00:03:16 CST 2020
2020/03/06 00:03:18.109 [D]  Partition:0, Offset:144584, Key:, Value:1adasdsadadadsa Fri Mar 6 00:03:17 CST 2020
2020/03/06 00:03:19.070 [D]  Partition:0, Offset:144585, Key:, Value:1adasdsadadadsa Fri Mar 6 00:03:18 CST 2020
2020/03/06 00:03:20.094 [D]  Partition:0, Offset:144586, Key:, Value:1adasdsadadadsa Fri Mar 6 00:03:19 CST 2020
